"wpt.LGA","All_Field","Field_Found_Count","Field_Not_Found_Count","Field_Found_Perc","Field_Found_Functional_Count","Field_Found_Not_Functional_Count","Field_Found_Functional_Perc","PbR_Functional_Count","PbR_Not_Functional_Count","PbR_Functional_Perc","Field_Found_Status_Matched_PbR_Count","Field_Found_Status_NOT_Matched_PbR_Count","Field_Found_Status_Matched_PbR_Perc"
"Buhigwe",101,101,0,100,58,43,57,31,70,31,36,65,36
"Bukoba_Urban",56,56,0,100,21,35,38,28,28,50,25,31,45
"Chato",131,128,3,98,75,53,57,72,59,55,70,58,53
"Chunya",106,101,5,95,4,97,4,49,57,46,3,98,3
"Gairo",40,40,0,100,1,39,2,31,9,78,5,35,12
"Geita",98,93,5,95,41,52,42,26,72,27,34,21,35
"Igunga",77,64,13,83,28,36,36,51,26,66,37,27,48
"Ileje",91,84,7,92,32,52,35,52,39,57,41,43,45
"Iringa",267,261,6,98,113,148,42,129,138,48,112,149,42
"Itilima",116,105,11,91,79,26,68,62,54,53,69,36,59
"Kalambo",69,67,2,97,26,41,38,39,30,57,29,38,42
"Kaliua",80,69,11,86,33,36,41,34,46,42,52,17,65
"Kiteto",190,186,4,98,25,161,13,84,106,44,117,69,62
"Lindi_Rural",68,66,2,97,23,43,34,37,31,54,46,20,68
"Ludewa",117,110,7,94,74,36,63,107,10,91,74,36,63
"Makete",102,102,0,100,39,63,38,94,8,92,47,55,46
"Maswa",114,109,5,96,61,48,54,60,54,53,65,44,57
"Mbarali",114,100,14,88,45,55,39,58,56,51,50,50,44
"Mbeya_Rural",90,82,8,91,44,38,49,60,30,67,36,46,40
"Mbulu",86,83,3,97,50,33,58,62,24,72,68,15,79
"Mkalama",143,143,0,100,73,70,51,63,80,44,56,87,39
"Mkinga",219,205,14,94,68,137,31,182,37,83,96,109,44
"Mkuranga",15,15,0,100,4,11,27,7,8,47,10,5,67
"Momba",58,52,6,90,1,51,2,24,34,41,31,21,53
"Mpanda",45,45,0,100,15,30,33,18,27,40,30,15,67
"Nachingwea",101,100,1,99,6,94,6,16,85,16,76,24,75
"Namtumbo",33,33,0,100,10,23,30,11,22,33,26,7,79
"Ngara",79,79,0,100,46,33,58,47,32,59,45,34,57
"Ngorongoro",83,82,1,99,35,47,42,54,29,65,43,39,52
"Njombe_Rural",113,109,4,96,54,55,48,64,49,57,82,27,73
"Nkasi",113,113,0,100,29,84,26,52,61,46,82,31,73
"Nyasa",104,102,2,98,17,85,16,68,36,65,49,53,47
"Rombo",70,70,0,100,22,48,31,30,40,43,55,15,79
"Ruangwa",45,45,0,100,14,31,31,12,33,27,26,16,58
"Serengeti",51,49,2,96,14,35,27,29,22,57,30,19,59
"Songea",108,101,7,94,49,52,45,46,62,43,61,40,56
"Sumbawanga_Urban",93,91,2,98,38,53,41,49,44,53,66,25,71
"Tabora_Urban",60,58,2,97,18,40,30,18,42,30,35,23,58
"Tandahimba",231,225,6,97,38,187,16,70,161,30,168,52,73
"Tunduma",63,39,24,62,4,35,6,48,15,76,9,30,14
"Tunduru",114,111,3,97,53,58,46,71,43,62,74,37,65
"Uyui",175,169,6,97,73,96,42,104,71,59,97,72,55
"Wangingombe",119,117,2,98,41,76,34,112,7,94,48,69,40
NA,0,3,1,Inf,1,2,Inf,0,0,NA,0,0,NA
